takeaway,delivery,takeaway_other,takeaway_other_2,business_date,ons_region_code,ons_region_name
125366.73,108249.69,-95992.20,113109.24,2021-01-02,E12000008,South East
7872.42,10003.08,-8120.59,5989.93,2021-01-02,,
6939.37,3208.59,-2833.73,6564.51,2021-01-02,N99999999,(pseudo) Northern Ireland
97775.92,127080.02,-118019.20,88715.10,2021-01-01,E12000008,South East
3535.26,0.00,357.65,3177.61,2021-01-01,S99999999,(pseudo) Scotland
21683.07,12881.47,-12132.28,20933.88,2021-01-01,W99999999,(pseudo) Wales
17547.04,9702.13,-8130.01,15974.92,2021-01-01,E12000001,North East
55471.89,83062.16,-78890.89,51300.62,2021-01-01,E12000006,East of England
34780.04,45519.64,-42542.33,31802.73,2021-01-01,E12000009,South West
4366.55,3135.87,-2717.24,3947.92,2021-01-01,N99999999,(pseudo) Northern Ireland
46102.84,40203.68,-36060.83,41959.99,2021-01-01,E12000003,Yorkshire and The Humber
4853.58,8644.77,-7460.17,3668.98,2021-01-01,,
67895.23,87751.57,-83456.29,63599.95,2021-01-01,E12000002,North West
45580.54,64166.45,-60910.07,42324.16,2021-01-01,E12000005,West Midlands
96778.28,388238.02,-369296.92,77837.18,2021-01-01,E12000007,London
32470.53,30495.81,-28808.00,30782.72,2021-01-01,E12000004,East Midlands
