Date,Open,High,Low,Close,Adj Close,Volume
2011-03-01,58.02000045776367,58.369998931884766,53.77000045776367,57.43000030517578,52.002559661865234,1729243300.0
2011-04-01,57.720001220703125,59.290000915527344,55.31999969482422,59.08000183105469,53.57210922241211,1032891200.0
2011-05-01,59.16999816894531,59.34000015258789,56.470001220703125,58.36000061035156,52.919212341308594,1054622500.0
2011-06-01,58.220001220703125,58.36000061035156,53.619998931884766,57.04999923706055,51.73135757446289,1155628500.0
2011-07-01,57.08000183105469,59.83000183105469,56.869998931884766,58.0,52.710716247558594,1277418400.0
2011-08-01,58.70000076293945,58.81999969482422,49.93000030517578,55.060001373291016,50.0388298034668,2526145600.0
2011-09-01,55.20000076293945,57.349998474121094,51.90999984741211,52.4900016784668,47.70320129394531,1666877800.0
2011-10-01,52.02000045776367,59.20000076293945,50.099998474121094,57.95000076293945,52.76295471191406,1616785100.0
2011-11-01,56.52000045776367,58.97999954223633,52.869998931884766,56.38999938964844,51.34257888793945,1295070500.0
2011-12-01,56.380001068115234,57.619998931884766,54.16999816894531,55.83000183105469,50.83272171020508,1004361600.0
2012-01-01,56.90999984741211,60.86000061035156,56.560001373291016,60.529998779296875,55.32292175292969,828883900.0
2012-02-01,60.880001068115234,64.95999908447266,60.65999984741211,64.41000366210938,58.86915969848633,1018602500.0
2012-03-01,64.6500015258789,68.51000213623047,63.22999954223633,67.55000305175781,61.739036560058594,1070054300.0
2012-04-01,67.4800033569336,68.55000305175781,64.44999694824219,66.76000213623047,61.12057876586914,1056184900.0
2012-05-01,66.69000244140625,67.62999725341797,60.7599983215332,62.060001373291016,56.81760025024414,1300328800.0
2012-06-01,60.939998626708984,64.56999969482422,60.040000915527344,64.16000366210938,58.74021530151367,973815200.0
2012-07-01,64.25,65.30999755859375,61.86000061035156,64.80000305175781,59.46250915527344,860805100.0
2012-08-01,65.26000213623047,68.87999725341797,63.90999984741211,68.16000366210938,62.545738220214844,679866200.0
2012-09-01,68.02999877929688,70.58000183105469,67.41999816894531,68.56999969482422,62.921974182128906,639521900.0
2012-10-01,68.9000015258789,69.80000305175781,64.6500015258789,64.94999694824219,59.77009582519531,863124200.0
2012-11-01,65.36000061035156,66.20999908447266,61.310001373291016,65.80000305175781,60.552337646484375,901783900.0
2012-12-01,66.30999755859375,66.76000213623047,63.58000183105469,65.12999725341797,59.93576431274414,815856000.0
2013-01-01,66.7300033569336,67.79000091552734,66.16999816894531,66.87000274658203,61.87974166870117,741836700.0
2013-02-01,67.33999633789062,68.26000213623047,65.95999908447266,67.0999984741211,62.092567443847656,656562100.0
2013-03-01,66.87000274658203,69.05999755859375,66.54000091552734,68.97000122070312,63.8230094909668,557979300.0
2013-04-01,69.0199966430664,70.7300033569336,66.87999725341797,70.72000122070312,65.59387969970703,835537700.0
2013-05-01,70.73999786376953,74.94999694824219,70.25,73.25,67.94048309326172,680414200.0
2013-06-01,73.26000213623047,73.81999969482422,69.1500015258789,71.2699966430664,66.1040267944336,748561600.0
2013-07-01,71.75,76.20999908447266,71.3499984741211,75.7699966430664,70.50017547607422,581695700.0
2013-08-01,76.29000091552734,77.27999877929688,74.95999908447266,75.47000122070312,70.22101593017578,529245500.0
2013-09-01,76.08999633789062,79.69000244140625,75.54000091552734,78.87999725341797,73.39384460449219,503988800.0
2013-10-01,78.88999938964844,83.48999786376953,76.3499984741211,82.79000091552734,77.26321411132812,817353700.0
2013-11-01,83.06999969482422,85.83999633789062,81.37000274658203,85.7300033569336,80.00695037841797,542339400.0
2013-12-01,85.83000183105469,87.95999908447266,84.05000305175781,87.95999908447266,82.08810424804688,651649200.0
2014-01-01,87.55000305175781,89.0,84.76000213623047,86.2699966430664,80.76666259765625,831732700.0
2014-02-01,86.11000061035156,90.95999908447266,83.73999786376953,90.33999633789062,84.57701110839844,713558700.0
2014-03-01,89.48999786376953,91.36000061035156,86.4000015258789,87.66999816894531,82.41806030273438,809345400.0
